	Instrument,	My DMM6500
	.Model,	DMM6500
	.SerialNumber,	04635780
	Acquisition,	
	.Measure Delay,	0 s
	.Measure Count Infinite,	Enabled
	.Start at HH:MM Enabled,	Disabled
	Function ,	2-Wire Resistance
	.Range,	Auto
	.NPLC,	1
	.Auto Zero,	On
	.Auto Delay,	Enabled
	.Line Sync,	Disabled
	Rel Enabled,	Disabled
	Filter,	
	.Digital,	Disabled
	Math,	Disabled
	Trigger Mode,	Immediate
	Limit 1,	Disabled
	Limit 2,	Disabled

"Index","DMM-1 Time (s)","DMM-1 Resistance (Ω)"
"1","0","32.8740113329348"
"2","0.016709061","32.8727158037272"
"3","0.03341894","32.8736671387439"
"4","0.050125273","32.8657994208881"
"5","0.066833637","32.8435080460395"
"6","0.102261","32.8154333224478"
"7","0.118973546","32.8075286738849"
"8","0.135679879","32.8127004501172"
"9","0.152390273","32.8099070114267"
"10","0.169098637","32.806720630012"
"11","0.204526","32.7912643904466"
"12","0.221233849","32.7802811981338"
"13","0.237940182","32.7699317367561"
"14","0.254650455","32.7637864670828"
"15","0.271358819","32.753878576054"
"16","0.306784","32.7542833366031"
"17","0.323492697","32.7481365897241"
"18","0.340199031","32.747600355858"
"19","0.356909455","32.7492489426201"
"20","0.37362191","32.7454421253388"
"21","0.409046","32.7329757958719"
"22","0.42575194","32.7264065617045"
"23","0.442462485","32.7279650375414"
"24","0.459172879","32.7205227614596"
"25","0.475879213","32.7150821296991"
"26","0.511308","32.703360323286"
"27","0.52801791","32.6987823928419"
"28","0.544728213","32.7024813724586"
"29","0.561436455","32.6993998742636"
"30","0.578144697","32.6943610485956"
"31","0.613572","32.6861949306559"
"32","0.630280061","32.686137318753"
"33","0.646986303","32.680132385789"
"34","0.663694546","32.683176953277"
"35","0.680402819","32.6830041175681"
"36","0.71583","32.6800082551678"
"37","0.732536","32.6755174806925"
"38","0.749242213","32.6747507991291"
"39","0.765948425","32.6717963422374"
"40","0.782656667","32.6758941739462"
"41","0.818079","32.674478989095"
"42","0.834787182","32.6648474596281"
"43","0.851497455","32.6663084385611"
"44","0.868207728","32.6654324420927"
"45","0.884916273","32.6660986721218"
"46","0.920341","32.6693559608449"
"47","0.937050849","32.6725334792319"
"48","0.953759122","32.6700812800118"
"49","0.970469394","32.667961457192"
"50","0.987175849","32.6581526603116"
"51","1.022601","32.6550711617736"
"52","1.039307455","32.6575484738772"
"53","1.056015697","32.6565498674479"
"54","1.07272194","32.6522792000109"
"55","1.089432243","32.6579975513248"
"56","1.124859","32.6589488864439"
"57","1.141567425","32.6590493379782"
"58","1.158275637","32.6612563172763"
"59","1.174983879","32.6555143303073"
"60","1.191690091","32.6581925454796"
"61","1.227114","32.6779460442574"
"62","1.243822485","32.6880458551417"
"63","1.260530758","32.6950759853154"
"64","1.277241031","32.7007045872107"
"65","1.29395","32.7066120238308"
"66","1.329374","32.7549735292236"
"67","1.346081879","32.766367392352"
"68","1.362790122","32.77701230065"
"69","1.379498364","32.8162666925739"
"70","1.396206607","32.8436264409208"
"71","1.431636","32.8781049532267"
"72","1.44834597","32.8830920765148"
"73","1.465058273","32.8981996919969"
"74","1.481768576","32.9282081109764"
"75","1.498476819","32.9579476743758"
"76","1.533905","32.9842255378239"
"77","1.550613607","33.007720860683"
"78","1.567321849","33.0159800464803"
"79","1.584030091","33.0174203444864"
"80","1.600736303","33.0282572944075"
"81","1.636164","33.075707358259"
"82","1.652872485","33.090605209943"
"83","1.669582758","33.1121402502851"
"84","1.686293031","33.1273202526554"
"85","1.703003303","33.1167787484792"
"86","1.738426","33.1532249355638"
"87","1.755134485","33.1619671751539"
"88","1.771842728","33.1674595115506"
"89","1.788553","33.1808151364465"
"90","1.805261243","33.1716031381221"
"91","1.84069","33.2059560921045"
"92","1.85739994","33.2245706512587"
"93","1.874112243","33.2309020535708"
"94","1.890822849","33.2535716055731"
"95","1.907531394","33.2591850747252"
"96","1.942956","33.2541078396"
"97","1.959661546","33.2493925255122"
"98","1.976369819","33.2391376037085"
"99","1.993078061","33.2478695026975"
"100","2.009786303","33.2531963894771"
"101","2.045214","33.2623286174504"
"102","2.061924394","33.2667617808519"
"103","2.078632637","33.2716218633546"
"104","2.095340879","33.3069468338375"
"105","2.112051152","33.2972990530395"
"106","2.147475","33.3344853317149"
"107","2.164183425","33.3455054579978"
"108","2.180893697","33.3526153598476"
"109","2.19760197","33.3564886535625"
"110","2.214312243","33.3697216684743"
"111","2.249738","33.4019961616417"
"112","2.266443788","33.4156693907133"
"113","2.283152031","33.4155540438478"
"114","2.299863182","33.4084057340774"
"115","2.316575485","33.4136203514549"
"116","2.352002","33.4340363952834"
"117","2.368712031","33.4426855715663"
"118","2.385422303","33.4461762638902"
"119","2.402128516","33.4543350001174"
"120","2.418836758","33.4530306068369"
"121","2.454259","33.4447906230101"
"122","2.470967273","33.4356111214863"
"123","2.487679607","33.4299991281987"
"124","2.504385819","33.4375802678543"
"125","2.521092061","33.4395390736188"
"126","2.556518","33.4417519627856"
"127","2.57322597","33.4468085179379"
"128","2.589934213","33.4491056091625"
"129","2.606644485","33.4570235570491"
"130","2.623354758","33.4560146095852"
"131","2.65878","33.4473994095712"
"132","2.675486061","33.4454967385119"
"133","2.692192273","33.448920955527"
"134","2.708898516","33.437113463464"
"135","2.725608788","33.4327645010427"
"136","2.761034","33.4275306784004"
"137","2.777744303","33.4152681997797"
"138","2.794450485","33.4065643660207"
"139","2.811156728","33.3950390247126"
"140","2.827867","33.3887770506284"
"141","2.86329","33.3768513802386"
"142","2.879998394","33.3748453031435"
"143","2.89670697","33.3899278120843"
"144","2.913414031","33.3872924353996"
"145","2.930120273","33.3827691599465"
"146","2.965544","33.3943860894578"
"147","2.982250213","33.3973228208754"
"148","2.998960516","33.3970997592838"
"149","3.015666728","33.40050624955"
"150","3.03237294","33.4024783503762"
"151","3.0678","33.3884225156484"
"152","3.084507788","33.3822314485601"
"153","3.101218061","33.3804912727"
"154","3.117926303","33.3906531315642"
"155","3.134632516","33.3917344632532"
"156","3.170057","33.4041344581986"
"157","3.186767485","33.3957157279306"
"158","3.203475849","33.3929503545209"
"159","3.220182061","33.4012051123271"
"160","3.236888273","33.4011223874815"
"161","3.272316","33.4200342475173"
"162","3.289026758","33.4332584051221"
"163","3.305737061","33.4340723585225"
"164","3.322447485","33.4332362466811"
"165","3.339157788","33.4327989867781"
"166","3.374584","33.4419947398042"
"167","3.391294455","33.4450732858776"
"168","3.408000667","33.4419917853454"
"169","3.42471094","33.4455282725333"
"170","3.441417182","33.4436137832286"
"171","3.476842","33.4553178717789"
